id,pop,shop,brand,container,capacity,price,quantity
1323,671022,shop_3,lemon-boost,glass,500ml,1.1,10892
1324,671022,shop_3,lemon-boost,can,330ml,0.5,18836
1325,139242,shop_5,kinder-cola,glass,500ml,1.01,13687
1326,139242,shop_5,kinder-cola,plastic,1.5lt,2.89,9335
1327,139242,shop_5,kinder-cola,can,330ml,0.74,16125
1328,139242,shop_5,adult-cola,glass,500ml,1.15,15934
1329,139242,shop_5,adult-cola,plastic,1.5lt,2.92,10445
1330,139242,shop_5,gazoza,glass,500ml,0.68,25882
1331,139242,shop_5,gazoza,can,330ml,0.2,58831
1332,139242,shop_5,lemon-boost,glass,500ml,0.73,18334
1333,139242,shop_5,lemon-boost,plastic,1.5lt,2.26,9823
1334,139242,shop_5,gazoza,plastic,1.5lt,0.61,33339
1335,135432,shop_2,orange-power,plastic,1.5lt,1.77,23586
1336,166301,shop_6,gazoza,plastic,1.5lt,0.68,54119
1337,139242,shop_5,orange-power,glass,500ml,0.99,19515
1338,139242,shop_5,orange-power,can,330ml,0.4,36006
1339,671022,shop_1,orange-power,can,330ml,0.51,32519
1340,671022,shop_1,kinder-cola,can,330ml,0.78,12597
1341,671022,shop_3,orange-power,plastic,1.5lt,0.88,27022
1342,347001,shop_4,kinder-cola,can,330ml,0.68,20013
1343,139242,shop_5,adult-cola,can,330ml,0.71,16165
1344,671022,shop_3,lemon-boost,plastic,1.5lt,1.61,13034
1345,135432,shop_2,gazoza,glass,500ml,0.63,42115
1346,139242,shop_5,orange-power,plastic,1.5lt,2.17,10434
1347,135432,shop_2,adult-cola,can,330ml,0.61,25939
1348,139242,shop_5,lemon-boost,can,330ml,0.21,40712
1349,671022,shop_3,adult-cola,can,330ml,0.58,20893
1350,671022,shop_1,kinder-cola,plastic,1.5lt,2.97,11883
1351,671022,shop_1,kinder-cola,can,330ml,0.98,9795
1352,671022,shop_1,adult-cola,glass,500ml,1.23,19544
1353,671022,shop_1,adult-cola,plastic,1.5lt,2.94,13601
1354,671022,shop_1,adult-cola,can,330ml,0.32,45249
1355,671022,shop_1,orange-power,glass,500ml,1.07,18948
1356,671022,shop_1,orange-power,plastic,1.5lt,1.72,22600
1357,671022,shop_1,orange-power,can,330ml,0.22,75393
1358,671022,shop_1,gazoza,glass,500ml,0.54,49301
1359,671022,shop_1,gazoza,plastic,1.5lt,0.96,34049
1360,671022,shop_1,gazoza,can,330ml,0.29,51748
1361,671022,shop_1,lemon-boost,glass,500ml,0.98,17899
1362,671022,shop_1,lemon-boost,plastic,1.5lt,2.62,8335
1363,135432,shop_2,kinder-cola,glass,500ml,1.16,18847
1364,135432,shop_2,kinder-cola,plastic,1.5lt,3.76,9783
1365,135432,shop_2,kinder-cola,can,330ml,0.73,20747
1366,135432,shop_2,adult-cola,plastic,1.5lt,1.8,24667
1367,135432,shop_2,adult-cola,can,330ml,0.76,28273
1368,135432,shop_2,orange-power,plastic,1.5lt,1.22,33860
1369,135432,shop_2,orange-power,can,330ml,0.31,72766
1370,135432,shop_2,gazoza,glass,500ml,0.62,41765
1371,135432,shop_2,gazoza,plastic,1.5lt,1.08,32795
1372,135432,shop_2,gazoza,can,330ml,0.34,55462
1373,135432,shop_2,lemon-boost,glass,500ml,1.14,18196
1374,135432,shop_2,lemon-boost,plastic,1.5lt,1.55,25620
1375,135432,shop_2,lemon-boost,can,330ml,0.53,26101
1376,166301,shop_6,kinder-cola,glass,500ml,1.18,25977
1377,166301,shop_6,adult-cola,glass,500ml,1.15,34113
1378,166301,shop_6,adult-cola,plastic,1.5lt,3.13,20573
1379,166301,shop_6,adult-cola,can,330ml,0.64,52087
1380,166301,shop_6,orange-power,glass,500ml,0.93,40949
1381,166301,shop_6,orange-power,plastic,1.5lt,1.59,43043
1382,166301,shop_6,gazoza,plastic,1.5lt,0.86,60368
1383,166301,shop_6,gazoza,can,330ml,0.32,71978
1384,166301,shop_6,lemon-boost,glass,500ml,1.02,28517
1385,166301,shop_6,lemon-boost,plastic,1.5lt,1.77,30662
1386,166301,shop_6,lemon-boost,can,330ml,0.67,25809
1387,347001,shop_4,kinder-cola,glass,500ml,0.99,21247
1388,347001,shop_4,kinder-cola,plastic,1.5lt,2.31,19142
1389,347001,shop_4,kinder-cola,can,330ml,0.71,22737
1390,347001,shop_4,adult-cola,glass,500ml,1.08,37235
1391,347001,shop_4,adult-cola,can,330ml,0.69,35830
1392,347001,shop_4,orange-power,glass,500ml,0.94,34116
1393,347001,shop_4,orange-power,plastic,1.5lt,1.63,31381
1394,347001,shop_4,orange-power,can,330ml,0.58,32073
1395,347001,shop_4,gazoza,glass,500ml,0.59,63662
1396,347001,shop_4,gazoza,plastic,1.5lt,0.64,47861
1397,347001,shop_4,gazoza,can,330ml,0.35,51807
1398,347001,shop_4,lemon-boost,glass,500ml,0.96,24371
1399,347001,shop_4,lemon-boost,plastic,1.5lt,2.15,18742
1400,347001,shop_4,lemon-boost,can,330ml,0.57,34558
1401,671022,shop_3,kinder-cola,glass,500ml,1.19,12026
1402,671022,shop_3,kinder-cola,plastic,1.5lt,3.74,6330
1403,671022,shop_3,adult-cola,plastic,1.5lt,0.86,23479
1404,671022,shop_3,adult-cola,can,330ml,0.84,14073
1405,671022,shop_3,orange-power,glass,500ml,1.02,16090
1406,671022,shop_3,orange-power,plastic,1.5lt,1.43,23220
1407,671022,shop_3,orange-power,can,330ml,0.51,26583
1408,671022,shop_3,gazoza,glass,500ml,0.52,40653
1409,671022,shop_3,gazoza,plastic,1.5lt,1.2,18693
1410,671022,shop_3,gazoza,can,330ml,0.3,42356
1411,671022,shop_3,lemon-boost,plastic,1.5lt,2.32,12298
1412,671022,shop_3,lemon-boost,can,330ml,0.61,13835
1413,139242,shop_5,kinder-cola,glass,500ml,1.2,13220
1414,139242,shop_5,kinder-cola,plastic,1.5lt,3.65,8097
1415,139242,shop_5,kinder-cola,can,330ml,0.92,12866
1416,139242,shop_5,adult-cola,glass,500ml,1.1,21497
1417,139242,shop_5,adult-cola,plastic,1.5lt,2.13,19650
1418,139242,shop_5,orange-power,glass,500ml,0.44,52169
1419,139242,shop_5,orange-power,plastic,1.5lt,2.17,15231
1420,139242,shop_5,orange-power,can,330ml,0.42,39853
1421,139242,shop_5,gazoza,plastic,1.5lt,0.44,45953
1422,139242,shop_5,lemon-boost,glass,500ml,1.03,15859
1423,139242,shop_5,lemon-boost,plastic,1.5lt,1.96,18791
1424,671022,shop_1,kinder-cola,glass,500ml,0.99,17645
1425,166301,shop_6,orange-power,can,330ml,0.32,90537
1426,139242,shop_5,lemon-boost,can,330ml,0.38,32820
1427,139242,shop_5,adult-cola,can,330ml,0.65,24556
1428,671022,shop_1,lemon-boost,can,330ml,0.63,21727
1429,671022,shop_3,kinder-cola,can,330ml,0.62,23026
1430,139242,shop_5,gazoza,glass,500ml,0.59,31424
1431,671022,shop_3,adult-cola,glass,500ml,1.26,13352
1432,166301,shop_6,kinder-cola,plastic,1.5lt,3.42,15690
1433,347001,shop_4,adult-cola,plastic,1.5lt,2.42,24720
1434,135432,shop_2,adult-cola,glass,500ml,1.01,32226
1435,139242,shop_5,gazoza,can,330ml,0.29,50780
1436,166301,shop_6,gazoza,glass,500ml,0.65,63159
1437,166301,shop_6,kinder-cola,can,330ml,0.66,32017
1438,671022,shop_3,lemon-boost,glass,500ml,0.91,20071
1439,135432,shop_2,orange-power,glass,500ml,0.96,29466
1440,671022,shop_1,kinder-cola,glass,500ml,1.03,20883
1441,671022,shop_1,kinder-cola,plastic,1.5lt,2.99,13658
1442,671022,shop_1,kinder-cola,can,330ml,0.65,24227
1443,671022,shop_1,adult-cola,glass,500ml,1.14,26651
1444,671022,shop_1,adult-cola,plastic,1.5lt,3.77,6814
1445,671022,shop_1,orange-power,glass,500ml,0.9,36662
1446,671022,shop_1,orange-power,plastic,1.5lt,1.16,35674
1447,671022,shop_1,orange-power,can,330ml,0.31,63705
1448,671022,shop_1,gazoza,glass,500ml,0.64,40590
1449,671022,shop_1,lemon-boost,glass,500ml,0.94,19053
1450,671022,shop_1,lemon-boost,plastic,1.5lt,1.33,23451
1451,671022,shop_1,lemon-boost,can,330ml,0.53,34865
1452,135432,shop_2,kinder-cola,glass,500ml,1.02,24073
1453,135432,shop_2,kinder-cola,plastic,1.5lt,3.77,10871
1454,135432,shop_2,kinder-cola,can,330ml,0.56,32104
1455,135432,shop_2,adult-cola,glass,500ml,1.11,28578
1456,135432,shop_2,adult-cola,plastic,1.5lt,2.52,25702
1457,135432,shop_2,adult-cola,can,330ml,0.62,40094
1458,135432,shop_2,orange-power,glass,500ml,0.77,49963
1459,135432,shop_2,orange-power,plastic,1.5lt,1.85,29286
1460,135432,shop_2,orange-power,can,330ml,0.49,53172
1461,135432,shop_2,gazoza,glass,500ml,0.65,44599
1462,135432,shop_2,gazoza,plastic,1.5lt,1.08,42876
1463,135432,shop_2,gazoza,can,330ml,0.36,50325
1464,135432,shop_2,lemon-boost,glass,500ml,0.87,29259
1465,135432,shop_2,lemon-boost,plastic,1.5lt,2.55,15200
1466,166301,shop_6,kinder-cola,glass,500ml,1.11,34502
1467,166301,shop_6,kinder-cola,plastic,1.5lt,4.32,10368
1468,166301,shop_6,kinder-cola,can,330ml,0.62,36890
1469,166301,shop_6,adult-cola,glass,500ml,0.88,56801
1470,166301,shop_6,adult-cola,plastic,1.5lt,2.86,26241
1471,166301,shop_6,adult-cola,can,330ml,0.54,65913
1472,166301,shop_6,orange-power,glass,500ml,0.57,91468
1473,166301,shop_6,orange-power,plastic,1.5lt,2.15,30977
1474,166301,shop_6,orange-power,can,330ml,0.21,132062
1475,166301,shop_6,gazoza,glass,500ml,0.58,76522
1476,166301,shop_6,gazoza,can,330ml,0.3,101017
1477,166301,shop_6,lemon-boost,glass,500ml,1.17,22841
1478,166301,shop_6,lemon-boost,plastic,1.5lt,2.61,19099
1479,166301,shop_6,lemon-boost,can,330ml,0.4,64206
1480,347001,shop_4,kinder-cola,glass,500ml,1,31371
1481,347001,shop_4,kinder-cola,can,330ml,0.59,34987
1482,347001,shop_4,adult-cola,glass,500ml,1.1,37585
1483,347001,shop_4,adult-cola,plastic,1.5lt,3.03,20783
1484,347001,shop_4,adult-cola,can,330ml,0.45,57131
1485,347001,shop_4,orange-power,glass,500ml,0.77,51751
1486,347001,shop_4,orange-power,plastic,1.5lt,1.54,44169
1487,347001,shop_4,orange-power,can,330ml,0.53,48524
1488,347001,shop_4,gazoza,glass,500ml,0.66,45355
1489,347001,shop_4,gazoza,plastic,1.5lt,1.03,44668
1490,347001,shop_4,gazoza,can,330ml,0.27,86229
1491,347001,shop_4,lemon-boost,glass,500ml,0.91,32971
1492,347001,shop_4,lemon-boost,plastic,1.5lt,2.06,23317
1493,671022,shop_3,kinder-cola,glass,500ml,1.53,8271
1494,671022,shop_3,kinder-cola,plastic,1.5lt,2.98,10936
1495,671022,shop_3,kinder-cola,can,330ml,0.76,14398
1496,671022,shop_3,adult-cola,plastic,1.5lt,3.14,11529
1497,671022,shop_3,adult-cola,can,330ml,0.81,18756
1498,671022,shop_3,orange-power,glass,500ml,0.72,34963
1499,671022,shop_3,orange-power,plastic,1.5lt,2.24,12520
1500,671022,shop_3,gazoza,glass,500ml,0.65,31627
1501,671022,shop_3,gazoza,can,330ml,0.27,54046
1502,671022,shop_3,lemon-boost,glass,500ml,0.88,18915
1503,671022,shop_3,lemon-boost,plastic,1.5lt,1.95,17315
1504,671022,shop_3,lemon-boost,can,330ml,0.56,18012
1505,139242,shop_5,kinder-cola,plastic,1.5lt,3.12,9407
1506,139242,shop_5,adult-cola,glass,500ml,1.13,22950
1507,139242,shop_5,adult-cola,can,330ml,0.57,37398
1508,139242,shop_5,orange-power,glass,500ml,0.86,34520
1509,139242,shop_5,orange-power,plastic,1.5lt,1.88,24048
1510,139242,shop_5,orange-power,can,330ml,0.45,41536
1511,139242,shop_5,gazoza,glass,500ml,0.47,63515
1512,139242,shop_5,gazoza,plastic,1.5lt,1.13,27078
1513,139242,shop_5,gazoza,can,330ml,0.33,41589
1514,139242,shop_5,lemon-boost,glass,500ml,0.81,25665
1515,139242,shop_5,lemon-boost,plastic,1.5lt,2.61,10186
1516,139242,shop_5,lemon-boost,can,330ml,0.43,33465
1517,671022,shop_3,orange-power,can,330ml,0.59,20970
1518,139242,shop_5,kinder-cola,glass,500ml,1.29,16506
1519,671022,shop_1,adult-cola,can,330ml,0.57,37089
1520,347001,shop_4,kinder-cola,plastic,1.5lt,2.43,17442
1521,671022,shop_1,gazoza,can,330ml,0.3,60296
1522,139242,shop_5,adult-cola,plastic,1.5lt,3.33,10408
1523,671022,shop_3,gazoza,plastic,1.5lt,1.11,26166
1524,671022,shop_3,adult-cola,glass,500ml,1.14,20900
1525,135432,shop_2,lemon-boost,can,330ml,0.61,27664
1526,347001,shop_4,lemon-boost,can,330ml,0.44,53401
1527,671022,shop_1,gazoza,plastic,1.5lt,1.14,29312
1528,139242,shop_5,kinder-cola,can,330ml,0.44,23969
1529,166301,shop_6,gazoza,plastic,1.5lt,1.07,52414
1530,671022,shop_1,kinder-cola,glass,500ml,1.48,13828
1531,671022,shop_1,kinder-cola,can,330ml,1,11863
1532,671022,shop_1,adult-cola,glass,500ml,0.9,34937
1533,671022,shop_1,adult-cola,plastic,1.5lt,3.12,14733
1534,671022,shop_1,adult-cola,can,330ml,0.63,37078
1535,671022,shop_1,orange-power,glass,500ml,0.81,41294
1536,671022,shop_1,orange-power,plastic,1.5lt,1.54,30837
1537,671022,shop_1,orange-power,can,330ml,0.59,31515
1538,671022,shop_1,gazoza,can,330ml,0.2,100994
1539,671022,shop_1,lemon-boost,plastic,1.5lt,1.9,20064
1540,671022,shop_1,lemon-boost,can,330ml,0.41,39973
1541,135432,shop_2,kinder-cola,glass,500ml,1.39,20405
1542,135432,shop_2,kinder-cola,plastic,1.5lt,2.81,16680
1543,135432,shop_2,kinder-cola,can,330ml,0.65,36243
1544,135432,shop_2,adult-cola,glass,500ml,0.9,49254
1545,135432,shop_2,adult-cola,plastic,1.5lt,2.18,29728
1546,135432,shop_2,orange-power,glass,500ml,0.94,40455
1547,135432,shop_2,orange-power,plastic,1.5lt,1.91,33266
1548,135432,shop_2,orange-power,can,330ml,0.55,41034
1549,135432,shop_2,gazoza,plastic,1.5lt,1.04,41185
1550,135432,shop_2,gazoza,can,330ml,0.38,53781
1551,135432,shop_2,lemon-boost,glass,500ml,1.07,26136
1552,135432,shop_2,lemon-boost,plastic,1.5lt,1.94,27857
1553,166301,shop_6,kinder-cola,glass,,1.46,25634
1554,166301,shop_6,kinder-cola,plastic,1.5lt,3.29,19169
1555,166301,shop_6,kinder-cola,can,330ml,0.78,38645
1556,166301,shop_6,adult-cola,glass,500ml,1.03,44138
1557,166301,shop_6,adult-cola,plastic,1.5lt,2.76,31236
1558,166301,shop_6,adult-cola,can,330ml,0.68,51717
1559,166301,shop_6,orange-power,glass,500ml,0.87,60987
1560,166301,shop_6,orange-power,can,330ml,0.59,47992
1561,166301,shop_6,gazoza,glass,500ml,0.57,108474
1562,166301,shop_6,gazoza,plastic,1.5lt,0.63,83450
1563,166301,shop_6,gazoza,can,330ml,0.32,98502
1564,166301,shop_6,lemon-boost,glass,500ml,0.95,45188
1565,166301,shop_6,lemon-boost,plastic,1.5lt,1.11,41871
1566,166301,shop_6,lemon-boost,can,330ml,0.5,57541
1567,347001,shop_4,kinder-cola,glass,500ml,1.23,24352
1568,347001,shop_4,kinder-cola,plastic,1.5lt,2.27,24262
1569,347001,shop_4,adult-cola,glass,500ml,1.1,37017
1570,347001,shop_4,adult-cola,plastic,1.5lt,2.09,35920
1571,347001,shop_4,adult-cola,can,330ml,0.81,34628
1572,347001,shop_4,orange-power,plastic,1.5lt,2.18,28114
1573,347001,shop_4,orange-power,can,330ml,0.56,45143
1574,347001,shop_4,gazoza,glass,500ml,0.52,80759
1575,347001,shop_4,gazoza,plastic,1.5lt,0.73,58876
1576,347001,shop_4,gazoza,can,330ml,0.25,112253
1577,347001,shop_4,lemon-boost,plastic,1.5lt,2.01,27824
1578,347001,shop_4,lemon-boost,can,330ml,0.61,32261
1579,671022,shop_3,kinder-cola,glass,500ml,1.16,18711
1580,671022,shop_3,adult-cola,plastic,1.5lt,2.49,21553
1581,671022,shop_3,orange-power,glass,500ml,0.6,52181
1582,671022,shop_3,orange-power,plastic,1.5lt,1.62,26774
1583,671022,shop_3,orange-power,can,330ml,0.62,20630
1584,671022,shop_3,gazoza,plastic,1.5lt,0.62,43486
1585,671022,shop_3,gazoza,can,330ml,0.23,74262
1586,671022,shop_3,lemon-boost,can,330ml,0.59,25956
1587,139242,shop_5,kinder-cola,glass,500ml,1.37,12939
1588,139242,shop_5,kinder-cola,plastic,1.5lt,3.04,11639
1589,139242,shop_5,adult-cola,glass,500ml,1.19,23205
1590,139242,shop_5,adult-cola,plastic,1.5lt,3.1,14544
1591,139242,shop_5,adult-cola,can,330ml,0.7,33020
1592,139242,shop_5,orange-power,glass,500ml,0.87,35023
1593,139242,shop_5,orange-power,plastic,1.5lt,1.44,41540
1594,139242,shop_5,orange-power,can,330ml,0.71,9193
1595,139242,shop_5,gazoza,glass,500ml,0.44,68414
1596,139242,shop_5,lemon-boost,glass,500ml,1.12,18033
1597,139242,shop_5,lemon-boost,plastic,1.5lt,1.72,23702
1598,139242,shop_5,lemon-boost,can,330ml,0.46,34668
1599,671022,shop_3,kinder-cola,can,330ml,0.82,18151
1600,671022,shop_3,lemon-boost,plastic,1.5lt,1.61,16261
1601,671022,shop_1,gazoza,glass,500ml,0.64,45837
1602,671022,shop_3,adult-cola,glass,500ml,1.09,21554
1603,139242,shop_5,kinder-cola,can,330ml,0.82,16589
1604,347001,shop_4,lemon-boost,glass,500ml,1.02,27915
1605,671022,shop_1,lemon-boost,glass,500ml,0.85,28908
1606,166301,shop_6,orange-power,plastic,1.5lt,1.43,56323
1607,347001,shop_4,kinder-cola,can,330ml,0.8,25402
1608,671022,shop_1,kinder-cola,plastic,1.5lt,2.33,17075
1609,139242,shop_5,gazoza,can,330ml,0.35,48469
1610,347001,shop_4,orange-power,glass,500ml,0.92,41066
1611,671022,shop_3,lemon-boost,glass,500ml,1.08,16345
1612,671022,shop_1,gazoza,plastic,1.5lt,0.84,49085
1613,671022,shop_3,adult-cola,can,330ml,0.69,28114
1614,671022,shop_3,gazoza,glass,500ml,0.55,51612
1615,135432,shop_2,gazoza,glass,500ml,0.57,70568
1616,135432,shop_2,lemon-boost,can,330ml,0.59,34342
1617,135432,shop_2,adult-cola,can,330ml,0.62,47438
1618,139242,shop_5,gazoza,plastic,1.5lt,0.46,51129
1619,671022,shop_3,kinder-cola,plastic,1.5lt,3.1,9808
1620,671022,shop_1,kinder-cola,can,330ml,0.93,18829
1621,671022,shop_1,adult-cola,glass,500ml,1.12,26031
1622,671022,shop_1,adult-cola,plastic,1.5lt,2.65,21291
1623,671022,shop_1,adult-cola,can,330ml,0.62,46338
1624,671022,shop_1,orange-power,glass,500ml,0.55,68284
1625,671022,shop_1,orange-power,can,330ml,0.34,81123
1626,671022,shop_1,gazoza,glass,500ml,0.67,48089
1627,671022,shop_1,gazoza,plastic,1.5lt,1.1,36853
1628,671022,shop_1,lemon-boost,plastic,1.5lt,2,22579
1629,135432,shop_2,kinder-cola,glass,500ml,1.14,29287
1630,135432,shop_2,kinder-cola,plastic,1.5lt,2.8,21121
1631,135432,shop_2,kinder-cola,can,330ml,0.67,32342
1632,135432,shop_2,adult-cola,glass,500ml,1,44233
1633,135432,shop_2,adult-cola,plastic,1.5lt,2.03,30925
1634,135432,shop_2,adult-cola,can,330ml,0.57,55555
1635,135432,shop_2,orange-power,glass,500ml,1,42343
1636,135432,shop_2,orange-power,plastic,1.5lt,2,28726
1637,135432,shop_2,orange-power,can,330ml,0.4,73275
1638,135432,shop_2,gazoza,glass,500ml,0.65,61294
1639,135432,shop_2,gazoza,plastic,1.5lt,0.75,68015
1640,135432,shop_2,gazoza,can,330ml,0.35,83584
1641,135432,shop_2,lemon-boost,glass,500ml,0.66,58941
1642,135432,shop_2,lemon-boost,plastic,1.5lt,2.21,22708
1643,166301,shop_6,kinder-cola,glass,500ml,1.21,37247
1644,166301,shop_6,kinder-cola,plastic,1.5lt,2.41,30710
1645,166301,shop_6,adult-cola,glass,500ml,1.18,49728
1646,166301,shop_6,adult-cola,plastic,1.5lt,2.26,44071
1647,166301,shop_6,adult-cola,can,330ml,0.64,67051
1648,166301,shop_6,orange-power,can,330ml,0.46,88836
1649,166301,shop_6,gazoza,glass,500ml,0.53,120975
1650,166301,shop_6,gazoza,plastic,1.5lt,0.92,79351
1651,166301,shop_6,gazoza,can,330ml,0.34,87663
1652,166301,shop_6,lemon-boost,glass,500ml,0.87,53485
1653,166301,shop_6,lemon-boost,plastic,1.5lt,1.93,39758
1654,166301,shop_6,lemon-boost,can,330ml,0.53,58868
1655,347001,shop_4,kinder-cola,glass,500ml,1.29,25336
1656,347001,shop_4,kinder-cola,plastic,1.5lt,2.57,23688
1657,347001,shop_4,kinder-cola,can,330ml,0.92,20279
1658,347001,shop_4,adult-cola,glass,500ml,1.13,38843
1659,347001,shop_4,adult-cola,plastic,1.5lt,2.45,32711
1660,347001,shop_4,adult-cola,can,330ml,0.6,55275
1661,347001,shop_4,orange-power,glass,500ml,0.89,46831
1662,347001,shop_4,orange-power,plastic,1.5lt,1.62,46220
1663,347001,shop_4,orange-power,can,330ml,0.54,56009
1664,347001,shop_4,gazoza,glass,500ml,0.54,89189
1665,347001,shop_4,gazoza,plastic,1.5lt,1.02,62879
1666,347001,shop_4,gazoza,can,330ml,0.36,68245
1667,347001,shop_4,lemon-boost,glass,500ml,1.02,33604
1668,347001,shop_4,lemon-boost,plastic,1.5lt,1.5,39783
1669,347001,shop_4,lemon-boost,can,330ml,0.41,62828
1670,671022,shop_3,kinder-cola,glass,500ml,1.56,10828
1671,671022,shop_3,kinder-cola,can,330ml,0.82,18702
1672,671022,shop_3,adult-cola,glass,500ml,1.03,28742
1673,671022,shop_3,adult-cola,can,330ml,0.7,32210
1674,671022,shop_3,orange-power,glass,500ml,0.86,41743
1675,671022,shop_3,orange-power,plastic,1.5lt,1.75,33606
1676,671022,shop_3,orange-power,can,330ml,0.38,69086
1677,671022,shop_3,gazoza,glass,500ml,0.62,48464
1678,671022,shop_3,gazoza,plastic,1.5lt,1.23,24356
1679,671022,shop_3,gazoza,can,330ml,0.32,55681
1680,671022,shop_3,lemon-boost,glass,500ml,1.3,9676
1681,671022,shop_3,lemon-boost,plastic,1.5lt,1.3,21792
1682,671022,shop_3,lemon-boost,can,330ml,0.41,44192
1683,139242,shop_5,kinder-cola,glass,500ml,1.34,16413
1684,139242,shop_5,kinder-cola,plastic,1.5lt,2.57,18116
1685,139242,shop_5,kinder-cola,can,330ml,0.71,19923
1686,139242,shop_5,adult-cola,glass,500ml,1.38,20501
1687,139242,shop_5,adult-cola,plastic,1.5lt,2.29,25192
1688,139242,shop_5,adult-cola,can,330ml,0.68,38902
1689,139242,shop_5,orange-power,glass,500ml,0.72,48105
1690,139242,shop_5,orange-power,plastic,1.5lt,1.78,36744
1691,139242,shop_5,orange-power,can,330ml,0.45,59607
1692,139242,shop_5,gazoza,glass,500ml,0.61,44319
1693,139242,shop_5,gazoza,plastic,1.5lt,0.95,40513
1694,139242,shop_5,gazoza,,330ml,0.36,37603
1695,139242,shop_5,lemon-boost,glass,500ml,1.14,15796
1696,139242,shop_5,lemon-boost,plastic,1.5lt,2.09,17051
1697,135432,shop_2,lemon-boost,can,330ml,0.53,44346
1698,166301,shop_6,orange-power,glass,500ml,0.71,90648
1699,139242,shop_5,lemon-boost,can,330ml,0.67,24045
1700,671022,shop_1,gazoza,can,330ml,0.33,56475
1701,671022,shop_1,lemon-boost,glass,500ml,1.01,30264
1702,671022,shop_3,adult-cola,plastic,1.5lt,0.75,27818
1703,671022,shop_1,lemon-boost,can,330ml,0.55,35691
1704,166301,shop_6,orange-power,plastic,1.5lt,0.75,99127
1705,671022,shop_1,orange-power,plastic,1.5lt,2.1,20337
1706,671022,shop_1,kinder-cola,glass,500ml,1.29,19667
1707,671022,shop_3,kinder-cola,plastic,1.5lt,1.93,15829
1708,671022,shop_1,kinder-cola,plastic,1.5lt,3.18,14702
1709,166301,shop_6,kinder-cola,can,330ml,0.8,36733
1710,671022,shop_1,kinder-cola,glass,500ml,1.14,19391
1711,671022,shop_1,adult-cola,glass,500ml,1.11,27353
1712,671022,shop_1,adult-cola,plastic,1.5lt,2.57,24096
1713,671022,shop_1,adult-cola,can,330ml,0.78,24463
1714,671022,shop_1,orange-power,glass,500ml,0.93,30399
1715,671022,shop_1,orange-power,plastic,1.5lt,2.3,16387
1716,671022,shop_1,orange-power,can,330ml,0.48,46629
1717,671022,shop_1,gazoza,glass,500ml,0.46,64222
1718,671022,shop_1,gazoza,plastic,1.5lt,1.05,37702
1719,671022,shop_1,lemon-boost,glass,500ml,0.89,30164
1720,671022,shop_1,lemon-boost,plastic,1.5lt,2.08,19798
1721,671022,shop_1,lemon-boost,can,330ml,0.57,30431
1722,135432,shop_2,kinder-cola,glass,500ml,1.26,18761
1723,135432,shop_2,kinder-cola,plastic,1.5lt,2.37,19538
1724,135432,shop_2,kinder-cola,can,330ml,0.83,20516
1725,135432,shop_2,adult-cola,glass,500ml,1.17,33925
1726,135432,shop_2,adult-cola,plastic,1.5lt,2.86,23204
1727,135432,shop_2,orange-power,glass,500ml,0.58,66437
1728,135432,shop_2,orange-power,plastic,1.5lt,1.1,49785
1729,135432,shop_2,orange-power,can,330ml,0.37,68655
1730,135432,shop_2,gazoza,glass,500ml,0.67,45875
1731,135432,shop_2,gazoza,plastic,1.5lt,0.98,40327
1732,135432,shop_2,gazoza,can,330ml,0.27,76077
1733,135432,shop_2,lemon-boost,can,330ml,0.65,26811
1734,166301,shop_6,kinder-cola,glass,500ml,1.3,27822
1735,166301,shop_6,kinder-cola,plastic,1.5lt,1.89,28623
1736,166301,shop_6,kinder-cola,can,330ml,0.7,40223
1737,166301,shop_6,adult-cola,plastic,1.5lt,2.34,39058
1738,166301,shop_6,orange-power,glass,500ml,0.88,46502
1739,166301,shop_6,orange-power,can,330ml,0.35,93749
1740,166301,shop_6,gazoza,glass,500ml,0.56,100261
1741,166301,shop_6,gazoza,plastic,1.5lt,0.99,59414
1742,166301,shop_6,gazoza,can,330ml,0.3,104027
1743,166301,shop_6,lemon-boost,glass,500ml,0.97,44873
1744,166301,shop_6,lemon-boost,plastic,1.5lt,2.03,32433
1745,166301,shop_6,lemon-boost,can,330ml,0.43,73651
1746,347001,shop_4,kinder-cola,glass,500ml,0.91,29327
1747,347001,shop_4,kinder-cola,plastic,1.5lt,3.7,12287
1748,347001,shop_4,kinder-cola,can,330ml,0.47,37291
1749,347001,shop_4,adult-cola,glass,500ml,0.83,57506
1750,347001,shop_4,adult-cola,plastic,1.5lt,2.57,26227
1751,347001,shop_4,orange-power,plastic,1.5lt,1.52,44113
1752,347001,shop_4,orange-power,can,330ml,0.53,46044
1753,347001,shop_4,gazoza,glass,500ml,0.57,79079
1754,347001,shop_4,gazoza,plastic,1.5lt,0.5,75500
1755,347001,shop_4,gazoza,can,330ml,0.36,65121
1756,347001,shop_4,lemon-boost,plastic,1.5lt,1.77,32374
1757,671022,shop_3,kinder-cola,plastic,1.5lt,2.97,10622
1758,671022,shop_3,kinder-cola,can,330ml,0.7,19500
1759,671022,shop_3,adult-cola,glass,500ml,0.76,30460
1760,671022,shop_3,adult-cola,can,330ml,0.67,25834
1761,671022,shop_3,orange-power,glass,500ml,0.58,39743
1762,671022,shop_3,orange-power,plastic,1.5lt,1.54,21946
1763,671022,shop_3,orange-power,can,330ml,0.57,22891
1764,671022,shop_3,gazoza,glass,500ml,0.66,30606
